code,lat,lat_hem,lon,lon_hem,elv,ptcorr,stcorr
MGSL,38.2700,N,47.0200,E,1762.0000,0.0000,0.0000
SRND,38.3100,N,46.6100,E,1692.0000,0.2100,0.0000
ZANG,38.4300,N,46.7300,E,1935.0000,-0.1400,0.0000
FRMZ,38.5200,N,46.5500,E,1744.0000,0.0700,0.0000
BLVR,38.2600,N,46.8600,E,1584.0000,0.2300,0.0000
AZGN,38.5300,N,46.9500,E,1538.0000,-0.2700,0.0000
KVCH,38.3300,N,46.5800,E,1857.0000,0.2100,0.0000
GOLJ,38.4100,N,46.4200,E,2044.0000,0.0400,0.0000
HIGH,38.3400,N,46.6700,E,1833.0000,0.0500,0.0000
NMVR,38.3000,N,46.9400,E,1589.0000,0.0400,0.0000
VRDN,38.4400,N,46.9800,E,1399.0000,-0.1500,0.0000
ORNG,38.4900,N,46.8600,E,1527.0000,-0.0100,0.0000
KRNG,38.4400,N,47.1100,E,1401.0000,-0.1900,0.0000
HRS,38.3173,N,47.0433,E,2112.0000,-0.5600,0.0000
GZCH,38.4400,N,46.8000,E,1773.0000,-0.1400,0.0000
TBZ,38.2348,N,46.1498,E,1583.0000,0.0500,0.0000
MHTR,38.4700,N,46.7100,E,1803.0000,-0.0800,0.0000
BST,37.7003,N,46.8888,E,2110.0000,-0.2200,0.0000
VRZ1,38.5040,N,46.6680,E,1693.0000,0.0100,0.0000
HMLO,38.4800,N,46.5300,E,1918.0000,0.0000,0.0000
TABZ,38.0570,N,46.3270,E,1487.0000,0.0000,0.0000
GRVN,38.2600,N,47.1800,E,2060.0000,0.0000,0.0000
